HLPIName,seriesReference,quarter,HLPI,NZHEC,NZHECName,NZHECShort,level,index,quarterlyChange,annualChange
Income quintile 2,HPIQ.SIQ2091,2008Q3,disq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2097,-4.5,0.0
Income quintile 2,HPIQ.SIQ2091,2008Q4,disq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2028,-3.3,0.0
Income quintile 3,HPIQ.SIQ3022,2023Q1,disq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2101,7.6,8.5
Income quintile 3,HPIQ.SIQ3022,2023Q2,disq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2103,0.1,8.5
Income quintile 3,HPIQ.SIQ3022,2023Q3,disq3,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2115,0.6,9.1
Income quintile 3,HPIQ.SIQ3082,2008Q2,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4557,0.0,0.0
Income quintile 3,HPIQ.SIQ3082,2008Q3,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4420,-3.0,0.0
Income quintile 3,HPIQ.SIQ3082,2008Q4,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4062,-8.1,0.0
Income quintile 3,HPIQ.SIQ3082,2009Q1,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4029,-0.8,0.0
Income quintile 3,HPIQ.SIQ3082,2009Q2,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4013,-0.4,-11.9
Income quintile 3,HPIQ.SIQ3082,2009Q3,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3942,-1.8,-10.8
Income quintile 3,HPIQ.SIQ3082,2009Q4,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3739,-5.1,-8.0
Income quintile 3,HPIQ.SIQ3082,2010Q1,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3496,-6.5,-13.2
Income quintile 3,HPIQ.SIQ3082,2010Q2,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3325,-4.9,-17.1
Income quintile 3,HPIQ.SIQ3082,2010Q3,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3120,-6.2,-20.9
Income quintile 3,HPIQ.SIQ3082,2010Q4,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2890,-7.4,-22.7
Income quintile 3,HPIQ.SIQ3082,2011Q1,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2711,-6.2,-22.5
Income quintile 3,HPIQ.SIQ3082,2011Q2,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2495,-8.0,-25.0
Income quintile 3,HPIQ.SIQ3082,2011Q3,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2259,-9.5,-27.6
Income quintile 3,HPIQ.SIQ3082,2011Q4,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2060,-8.8,-28.7
Income quintile 3,HPIQ.SIQ3091,2008Q2,disq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2161,0.0,0.0
Income quintile 3,HPIQ.SIQ3091,2008Q3,disq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2053,-5.0,0.0
Income quintile 4,HPIQ.SIQ4022,2023Q1,disq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2103,7.5,8.2
Income quintile 4,HPIQ.SIQ4022,2023Q2,disq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2105,0.1,8.2
Income quintile 4,HPIQ.SIQ4022,2023Q3,disq4,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2117,0.6,8.8
Income quintile 4,HPIQ.SIQ4082,2008Q2,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4431,0.0,0.0
Income quintile 4,HPIQ.SIQ4082,2008Q3,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4304,-2.9,0.0
Income quintile 4,HPIQ.SIQ4082,2008Q4,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3994,-7.2,0.0
Income quintile 4,HPIQ.SIQ4082,2009Q1,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3958,-0.9,0.0
Income quintile 4,HPIQ.SIQ4082,2009Q2,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3940,-0.5,-11.1
Income quintile 4,HPIQ.SIQ4082,2009Q3,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3894,-1.2,-9.5
Income quintile 4,HPIQ.SIQ4082,2009Q4,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3705,-4.9,-7.2
Income quintile 4,HPIQ.SIQ4082,2010Q1,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3479,-6.1,-12.1
Income quintile 4,HPIQ.SIQ4082,2010Q2,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3328,-4.3,-15.5
Income quintile 4,HPIQ.SIQ4082,2010Q3,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3163,-5.0,-18.8
Income quintile 4,HPIQ.SIQ4082,2010Q4,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2958,-6.5,-20.2
Income quintile 4,HPIQ.SIQ4082,2011Q1,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2798,-5.4,-19.6
Income quintile 4,HPIQ.SIQ4082,2011Q2,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2611,-6.7,-21.5
Income quintile 4,HPIQ.SIQ4082,2011Q3,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2358,-9.7,-25.5
Income quintile 4,HPIQ.SIQ4082,2011Q4,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2142,-9.2,-27.6
Income quintile 4,HPIQ.SIQ4091,2008Q2,disq4,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2094,0.0,0.0
Income quintile 5 (high),HPIQ.SIQ5022,2023Q1,disq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2104,7.4,8.3
Income quintile 5 (high),HPIQ.SIQ5022,2023Q2,disq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2107,0.1,8.5
Income quintile 5 (high),HPIQ.SIQ5022,2023Q3,disq5,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2116,0.4,8.8
Income quintile 5 (high),HPIQ.SIQ5082,2008Q2,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4255,0.0,0.0
Income quintile 5 (high),HPIQ.SIQ5082,2008Q3,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4127,-3.0,0.0
Income quintile 5 (high),HPIQ.SIQ5082,2008Q4,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3804,-7.8,0.0
Income quintile 5 (high),HPIQ.SIQ5082,2009Q1,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3774,-0.8,0.0
Income quintile 5 (high),HPIQ.SIQ5082,2009Q2,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3758,-0.4,-11.7
Income quintile 5 (high),HPIQ.SIQ5082,2009Q3,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3699,-1.6,-10.4
Income quintile 5 (high),HPIQ.SIQ5082,2009Q4,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3513,-5.0,-7.6
Income quintile 5 (high),HPIQ.SIQ5082,2010Q1,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3288,-6.4,-12.9
Income quintile 5 (high),HPIQ.SIQ5082,2010Q2,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3134,-4.7,-16.6
Income quintile 5 (high),HPIQ.SIQ5082,2010Q3,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2953,-5.8,-20.2
Income quintile 5 (high),HPIQ.SIQ5082,2010Q4,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2744,-7.1,-21.9
Income quintile 5 (high),HPIQ.SIQ5082,2011Q1,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2582,-5.9,-21.5
Income quintile 5 (high),HPIQ.SIQ5082,2011Q2,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2388,-7.5,-23.8
Income quintile 5 (high),HPIQ.SIQ5082,2011Q3,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2166,-9.3,-26.7
Income quintile 5 (high),HPIQ.SIQ5091,2008Q2,disq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2256,0.0,0.0
Income quintile 5 (high),HPIQ.SIQ5091,2008Q3,disq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2126,-5.8,0.0
Income quintile 5 (high),HPIQ.SIQ5091,2008Q4,disq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2066,-2.8,0.0
Income quintile 5 (high),HPIQ.SIQ5091,2009Q1,disq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2002,-3.1,0.0
Maori,HPIQ.SMAO022,2023Q1,maori,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2105,7.7,8.6
Maori,HPIQ.SMAO022,2023Q2,maori,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2106,0.0,8.5
Maori,HPIQ.SMAO022,2023Q3,maori,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2118,0.6,9.1
Maori,HPIQ.SMAO082,2008Q2,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4473,0.0,0.0
Maori,HPIQ.SMAO082,2008Q3,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4346,-2.8,0.0
Maori,HPIQ.SMAO082,2008Q4,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4014,-7.6,0.0
Maori,HPIQ.SMAO082,2009Q1,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3978,-0.9,0.0
Maori,HPIQ.SMAO082,2009Q2,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3962,-0.4,-11.4
Maori,HPIQ.SMAO082,2009Q3,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3905,-1.4,-10.1
Maori,HPIQ.SMAO082,2009Q4,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3713,-4.9,-7.5
Maori,HPIQ.SMAO082,2010Q1,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3481,-6.2,-12.5
Maori,HPIQ.SMAO082,2010Q2,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3322,-4.6,-16.2
Maori,HPIQ.SMAO082,2010Q3,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3136,-5.6,-19.7
Maori,HPIQ.SMAO082,2010Q4,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2921,-6.9,-21.3
Maori,HPIQ.SMAO082,2011Q1,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2752,-5.8,-20.9
Maori,HPIQ.SMAO082,2011Q2,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2551,-7.3,-23.2
Maori,HPIQ.SMAO082,2011Q3,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2308,-9.5,-26.4
Maori,HPIQ.SMAO082,2011Q4,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2102,-8.9,-28.0
Maori,HPIQ.SMAO091,2008Q2,maori,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2264,0.0,0.0
Maori,HPIQ.SMAO091,2008Q3,maori,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2134,-5.7,0.0
Maori,HPIQ.SMAO091,2008Q4,maori,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2061,-3.4,0.0
Superannuitant,HPIQ.SSUP022,2023Q1,super,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2115,7.6,8.5
Superannuitant,HPIQ.SSUP022,2023Q2,super,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2116,0.0,8.3
Superannuitant,HPIQ.SSUP022,2023Q3,super,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2129,0.6,9.0
Superannuitant,HPIQ.SSUP082,2008Q2,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2718,0.0,0.0
Superannuitant,HPIQ.SSUP082,2008Q3,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2677,-1.5,0.0
Superannuitant,HPIQ.SSUP082,2008Q4,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2555,-4.6,0.0
Superannuitant,HPIQ.SSUP082,2009Q1,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2512,-1.7,0.0
Superannuitant,HPIQ.SSUP082,2009Q2,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2501,-0.4,-8.0
Superannuitant,HPIQ.SSUP082,2009Q3,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2522,0.8,-5.8
Superannuitant,HPIQ.SSUP082,2009Q4,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2425,-3.8,-5.1
Superannuitant,HPIQ.SSUP082,2010Q1,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2309,-4.8,-8.1
Superannuitant,HPIQ.SSUP082,2010Q2,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2243,-2.9,-10.3
Superannuitant,HPIQ.SSUP082,2010Q3,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2203,-1.8,-12.6
Superannuitant,HPIQ.SSUP082,2010Q4,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2115,-4.0,-12.8
Superannuitant,HPIQ.SSUP082,2011Q1,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2034,-3.8,-11.9
Superannuitant,HPIQ.SSUP091,2008Q2,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2624,0.0,0.0
Superannuitant,HPIQ.SSUP091,2008Q3,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2429,-7.4,0.0
Superannuitant,HPIQ.SSUP091,2008Q4,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2339,-3.7,0.0
Superannuitant,HPIQ.SSUP091,2009Q1,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2245,-4.0,0.0
Superannuitant,HPIQ.SSUP091,2009Q2,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2246,0.0,-14.4
Superannuitant,HPIQ.SSUP091,2009Q3,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2192,-2.4,-9.8
Superannuitant,HPIQ.SSUP091,2009Q4,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2010,-8.3,-14.1
Superannuitant,HPIQ.SSUP101,2011Q1,super,10.1,Early childhood education,Early childhood education,subgroup,837,24.7,37.7
Superannuitant,HPIQ.SSUP101,2019Q3,super,10.1,Early childhood education,Early childhood education,subgroup,1586,26.9,26.9
